Date,Open,High,Low,Close,Volume
2019-05-29,121.098,121.108,119.777,120.671,23572379.537486
2019-05-30,120.978,121.445,120.511,121.426,17427914.320104
2019-05-31,119.966,120.343,119.082,119.439,27594073.189563
2019-06-03,119.588,120.105,114.932,115.727,39333971.554984
2019-06-04,117.127,119.043,116.501,118.924,30427206.995795
2019-06-05,120.681,121.553,119.946,121.515,25812274.452323
2019-06-06,122.08,123.58,121.306,123.43,22221835.790538
2019-06-07,124.75,127.689,123.847,126.885,35090235.497964
2019-06-10,127.839,129.486,127.452,128.036,27418371.041382
2019-06-11,129.298,129.636,126.766,127.55,24763875.626097
2019-06-12,126.885,127.422,126.23,126.975,17700109.564609
2019-06-13,127.432,128.106,127.045,127.759,17812346.562971
2019-06-14,127.699,129.209,127.123,127.889,18455271.919865
2019-06-17,128.066,129.149,127.967,128.275,15033898.389595
2019-06-18,129.586,130.588,128.989,130.509,26856440.656901
2019-06-19,130.37,131.274,129.229,131.035,24588566.32
2019-06-20,132.722,132.921,131.065,132.245,34217268.866897
2019-06-21,131.888,132.991,131.771,132.265,38033583.669461
2019-06-24,132.295,133.646,132.295,133.041,21362206.651912
2019-06-25,132.534,132.852,128.156,128.851,34512223.77017
2019-06-26,129.744,131.085,129.019,129.347,24498788.808759
2019-06-27,129.536,130.092,128.931,129.546,17146107.539241
2019-06-28,129.963,129.993,128.573,129.377,31111010.089889
2019-07-01,131.938,132.008,130.341,131.025,23459526.079237
2019-07-02,131.462,131.898,130.688,131.888,15779556.988247
2019-07-03,132.098,133.001,131.631,132.732,14113823.948769
2019-07-05,131.284,132.614,131.065,132.355,18786065.101484
2019-07-08,131.731,132.385,130.718,132.255,17376274.72434
2019-07-09,131.343,132.265,131.144,131.771,20662440.067129
2019-07-10,132.415,133.825,132.315,133.11,25064837.991413
2019-07-11,133.448,134.45,133.13,133.646,23121711.097165
2019-07-12,134.083,134.361,133.258,134.132,19610045.331794
2019-07-15,134.659,134.748,133.705,134.132,17243423.589371
2019-07-16,134.192,134.282,131.828,132.375,23534053.259266
2019-07-17,132.961,133.189,131.561,131.611,20929464.905421
2019-07-18,130.896,131.928,130.052,131.741,31903970.904769
2019-07-19,135.403,135.83,131.761,131.928,50734063.531146
2019-07-22,132.683,134.42,132.614,133.675,25972393.864452
2019-07-23,134.967,135.185,133.278,134.52,18675724.825293
2019-07-24,134.132,135.9,134.083,135.88,21475531.520664
2019-07-25,135.612,135.78,134.55,135.373,19009477.417287
2019-07-26,135.552,136.823,135.483,136.495,19714394.262539
2019-07-29,136.654,136.664,134.59,136.187,17196216.05816
2019-07-30,135.324,136.377,135.007,135.533,17445428.026098
2019-07-31,135.513,135.671,130.429,131.611,39970988.163998
2019-08-01,132.295,136.097,132.227,133.308,41999339.630446
2019-08-02,133.338,133.567,130.608,132.197,31886279.916191
2019-08-05,128.722,129.347,126.299,127.659,44269315.168859
2019-08-06,129.219,131.025,128.632,130.072,33859031.132823
2019-08-07,129.209,130.995,127.282,130.628,34602440.458715
2019-08-08,131.908,134.222,131.274,134.123,28474019.315014
2019-08-09,133.845,134.609,131.771,132.971,24300952.527286
2019-08-12,132.365,133.12,130.588,131.134,21212576.123462
2019-08-13,131.392,134.033,130.37,133.835,26403010.234534
2019-08-14,132.108,132.663,129.516,129.824,33571816.22592
2019-08-15,130.221,130.39,128.116,129.526,29028621.68367
2019-08-16,130.678,132.207,130.519,131.888,25829830.464388
2019-08-19,133.567,134.242,132.624,134.103,25153167.023373
2019-08-20,133.905,134.4,132.961,132.981,21869450.39625
2019-08-21,134.242,135.145,133.705,134.48,15463450.056898
2019-08-22,134.351,134.867,132.038,133.488,19310496.190698
2019-08-23,132.911,134.043,128.662,129.248,39752251.676298
2019-08-26,130.787,131.353,129.744,131.244,20977988.961261
2019-08-27,132.138,132.465,130.459,131.531,23857960.62423
2019-08-28,130.678,131.551,129.407,131.353,17969950.778467
2019-08-29,132.971,134.132,132.654,133.825,20827759.096808
2019-08-30,134.817,134.847,132.028,133.567,24715118.886866
2019-09-03,132.355,132.921,131.491,131.8,19487100.868388
2019-09-04,133.021,133.398,132.227,133.338,18593846.461831
2019-09-05,134.778,136.019,134.45,135.701,26958309.646071
2019-09-06,135.681,135.81,133.895,134.768,21493252.727863
2019-09-09,135.244,135.403,132.207,133.229,26601625.149166
2019-09-10,132.544,132.624,130.331,131.838,29831567.738528
2019-09-11,131.691,132.028,130.886,131.878,25520160.099514
2019-09-12,133.557,134.113,132.614,133.229,27877366.726624
2019-09-13,133.488,133.765,132.315,133.041,24113327.118171
2019-09-16,131.621,132.445,131.452,132.078,17268745.787278
